RA,Fase,Turma,Nome,Ano nasc,Idade 22,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,INDE 22,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,Atingiu PV,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV
RA-208,3,C,Aluno-208,2008,14,Menino,2018,Escola Pública,Ametista,Ágata,Ágata,6.667,599,78,4,4,Avaliador-6,Promovido de Fase,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,7.5,7.1,7.5,Não atendido,6.1,5.0,7.5,5.8,Não,Não,6.417,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-209,3,C,Aluno-209,2008,14,Menino,2019,Escola Pública,Quartzo,Quartzo,Quartzo,4.499,843,140,7,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,0.0,4.8,5.6,Requer avaliação,6.0,5.0,5.2,7.8,Não,Não,3.75,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-210,3,C,Aluno-210,2008,14,Menino,2022,Escola Pública,,,Quartzo,4.44,844,141,8,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,0.0,5.1,7.5,Não atendido,3.4,2.7,5.3,2.3,Não,Não,4.417,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-211,3,C,Aluno-211,2009,13,Menino,2021,Escola Pública,,Topázio,Topázio,8.465,39,10,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.8,7.5,Não atendido,7.6,6.7,7.5,8.5,Sim,Sim,8.458,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-212,3,C,Aluno-212,2008,14,Menino,2022,Escola Pública,,,Ametista,7.268,407,49,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,9.6,8.4,7.5,Não atendido,6.2,4.8,5.8,7.8,Não,Não,6.958,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-213,3,C,Aluno-213,2009,13,Menino,2022,Escola Pública,,,Ametista,7.209,425,51,3,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.6,8.7,7.5,Não atendido,3.5,5.0,2.0,,Não,Não,6.833,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-214,3,C,Aluno-214,2007,15,Menino,2022,Escola Pública,,,Quartzo,4.87,832,133,6,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,0.0,6.1,7.5,Não atendido,4.3,5.0,3.5,,Não,Não,5.125,5.0,Fase 5 (1º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-215,3,D,Aluno-215,2009,13,Menina,2021,Escola Pública,,Ágata,Ametista,7.172,442,53,3,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,6.7,5.8,7.5,Não atendido,7.8,5.7,7.7,10.0,Não,Não,6.542,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-216,3,D,Aluno-216,2009,13,Menina,2018,Escola Pública,Ametista,Ágata,Ametista,7.502,310,35,1,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.5,7.5,Não atendido,7.0,5.3,6.5,9.2,Não,Não,5.583,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-217,3,D,Aluno-217,2007,15,Menina,2021,Escola Pública,,Ametista,Ametista,7.397,363,42,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.5,7.5,Não atendido,7.1,6.3,7.2,7.7,Sim,Não,7.292,5.0,Fase 5 (1º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-218,3,D,Aluno-218,2008,14,Menina,2022,Escola Pública,,,Ágata,6.1,709,99,6,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,6.3,7.3,7.5,Não atendido,4.0,5.0,7.0,0.0,Não,Não,6.125,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-219,3,D,Aluno-219,2006,16,Menino,2019,Escola Pública,Ametista,Ágata,Quartzo,5.942,733,105,7,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.8,6.9,7.5,Não atendido,3.5,4.0,4.8,1.7,Não,Não,6.375,2.5,Fase 6 (2º EM),-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-220,3,D,Aluno-220,2009,13,Menina,2022,Escola Pública,,,Ágata,7.028,479,60,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,0.0,8.1,7.5,Não atendido,6.5,6.8,6.8,5.8,Sim,Não,7.833,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-221,3,D,Aluno-221,2008,14,Menino,2022,Escola Pública,,,Ágata,6.892,528,68,5,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.6,8.5,7.5,Não atendido,5.2,7.0,3.5,5.0,Não,Não,6.0,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-222,3,D,Aluno-222,2007,15,Menina,2019,Escola Pública,Ágata,Ametista,Quartzo,5.604,774,115,8,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,7.1,4.6,7.5,Não atendido,6.2,5.0,7.5,6.0,Não,Não,4.917,5.0,Fase 5 (1º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-223,3,E,Aluno-223,2009,13,Menina,2022,Escola Pública,,,Quartzo,4.966,823,128,12,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,0.0,4.6,7.5,Não atendido,3.1,4.3,4.7,0.2,Não,Não,5.583,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-224,3,E,Aluno-224,2009,13,Menino,2021,Escola Pública,,Ágata,Quartzo,5.671,765,112,11,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,9.6,4.3,7.5,Não atendido,2.6,5.0,2.7,0.0,Não,Não,4.875,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-225,3,E,Aluno-225,2008,14,Menino,2022,Escola Pública,,,Quartzo,5.918,736,107,10,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,8.3,5.3,7.5,Não atendido,5.0,3.0,7.0,,Não,Não,5.708,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-226,3,E,Aluno-226,2008,14,Menina,2022,Escola Pública,,,Ágata,6.549,638,82,4,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.5,6.1,7.5,Não atendido,6.8,7.0,6.5,,Não,Não,6.208,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-227,3,E,Aluno-227,2010,12,Menino,2022,Escola Pública,,,Ágata,6.471,647,84,5,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,9.2,6.4,7.5,Não atendido,3.3,4.7,4.3,1.0,Não,Não,5.833,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-228,3,E,Aluno-228,2007,15,Menina,2017,Escola Pública,Ágata,Quartzo,Ágata,6.196,700,95,7,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.5,6.7,7.5,Não atendido,4.8,3.0,6.0,5.3,Não,Não,6.417,5.0,Fase 5 (1º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-229,3,E,Aluno-229,2010,12,Menino,2022,Escola Pública,,,Topázio,8.62,27,7,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,10.0,9.4,7.5,Não atendido,6.9,7.0,6.7,7.2,Sim,Sim,8.5,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-230,3,E,Aluno-230,2008,14,Menino,2022,Escola Pública,,,Ágata,6.328,676,92,6,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase + Bolsa,7.9,5.1,7.5,Não atendido,5.7,3.7,4.3,9.0,Sim,Não,6.75,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-231,3,E,Aluno-231,2008,14,Menino,2022,Escola Pública,,,Ágata,6.116,705,97,8,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.8,7.4,7.5,Não atendido,3.8,3.0,4.5,,Não,Não,5.333,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-232,3,E,Aluno-232,2010,12,Menino,2022,Escola Pública,,,Quartzo,4.245,852,145,13,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,0.0,4.9,7.5,Não atendido,0.0,0.0,0.0,,Não,Não,4.542,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-233,3,E,Aluno-233,2008,14,Menino,2022,Escola Pública,,,Ágata,6.051,718,101,9,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.9,7.4,7.5,Não atendido,3.8,3.0,4.5,,Não,Não,5.5,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-234,3,E,Aluno-234,2009,13,Menino,2022,Escola Pública,,,Ágata,6.719,583,75,3,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,10.0,7.6,5.6,Sem limitações,4.3,3.7,6.3,2.8,Não,Não,5.583,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-235,3,E,Aluno-235,2008,14,Menina,2022,Escola Pública,,,Ágata,6.79,559,73,2,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,7.3,7.5,Não atendido,6.3,7.0,5.5,,Não,Não,6.417,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-236,3,F,Aluno-236,2010,12,Menina,2022,Escola Pública,,,Ametista,7.11,452,55,9,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.6,7.5,7.5,Não atendido,3.7,4.0,4.0,3.0,Não,Não,7.208,10.0,Fase 3 (7º e 8º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-237,3,F,Aluno-237,2008,14,Menina,2022,Escola Pública,,,Topázio,8.084,121,19,6,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-30,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase,10.0,9.0,7.5,Não atendido,7.8,6.8,7.7,8.8,Sim,Sim,8.417,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-238,3,F,Aluno-238,2008,14,Menina,2021,Escola Pública,,Ágata,Ágata,6.331,674,91,12,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,6.4,5.0,Requer avaliação,5.1,4.3,6.5,4.5,Não,Não,7.208,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-239,3,F,Aluno-239,2007,15,Menina,2021,Escola Pública,,Quartzo,Quartzo,4.572,840,138,13,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,0.0,3.7,7.5,Não atendido,3.7,2.0,4.7,4.5,Não,Não,5.958,5.0,Fase 5 (1º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-240,3,F,Aluno-240,2009,13,Menina,2017,Rede Decisão,Ametista,Ametista,Ágata,6.943,510,65,11,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,7.1,8.1,5.0,Requer avaliação,4.7,6.3,5.0,2.8,Não,Não,7.042,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-241,3,F,Aluno-241,2008,14,Menino,2016,Rede Decisão,Ametista,Topázio,Topázio,8.468,38,9,5,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,10.0,7.5,Não atendido,7.7,8.2,7.5,7.3,Não,Sim,9.125,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-242,3,F,Aluno-242,2009,13,Menino,2018,Rede Decisão,Ametista,Ametista,Topázio,8.673,19,3,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.6,9.7,5.6,Requer avaliação,8.2,8.7,7.2,8.7,Não,Sim,8.708,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-243,3,F,Aluno-243,2007,15,Menina,2022,Escola Pública,,,Ágata,6.982,493,63,10,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.1,8.7,5.0,Requer avaliação,6.0,5.0,5.3,7.7,Não,Não,7.875,5.0,Fase 5 (1º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-244,3,F,Aluno-244,2010,12,Menina,2018,Rede Decisão,Topázio,Topázio,Topázio,8.51,34,8,4,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,7.5,9.4,6.3,Requer avaliação,7.8,6.7,8.0,8.7,Não,Sim,9.208,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-245,3,F,Aluno-245,2008,14,Menino,2016,Rede Decisão,Ametista,Topázio,Topázio,8.656,20,4,2,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.9,7.5,Não atendido,8.4,8.3,8.2,8.8,Não,Sim,9.25,5.0,Fase 4 (9º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-246,3,F,Aluno-246,2009,13,Menino,2022,Escola Pública,,,Topázio,8.639,23,5,3,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.3,9.4,7.5,Não atendido,7.6,8.0,6.7,8.0,Sim,Sim,9.167,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-247,3,F,Aluno-247,2009,13,Menina,2021,Escola Pública,,Ágata,Ametista,7.72,230,32,7,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,8.3,8.2,7.5,Não atendido,5.8,5.3,5.7,6.3,Sim,Não,7.875,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-248,3,F,Aluno-248,2009,13,Menino,2022,Escola Pública,,,Ametista,7.429,343,39,8,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.2,7.6,7.5,Não atendido,5.2,4.0,5.5,6.0,Não,Não,7.292,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-249,3,G,Aluno-249,2008,14,Menino,2017,Escola Pública,Ágata,Ágata,Quartzo,5.097,816,125,10,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,6.7,7.4,5.0,Não atendido,2.9,2.3,4.2,2.2,Não,Não,4.292,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-250,3,G,Aluno-250,2010,12,Menina,2022,Escola Pública,,,Ametista,7.958,152,23,1,4,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,8.6,7.5,Não atendido,6.6,6.7,6.5,6.7,Sim,Não,7.625,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-251,3,G,Aluno-251,2007,15,Menino,2018,Escola Pública,Ametista,Ametista,Ágata,7.022,482,62,4,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,10.0,8.1,5.6,Sem limitações,6.3,5.3,6.3,7.2,Não,Não,6.625,5.0,Fase 5 (1º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-252,3,G,Aluno-252,2008,14,Menino,2018,Escola Pública,Ágata,Quartzo,Quartzo,4.277,850,143,14,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,9.2,2.8,7.5,Não atendido,0.9,1.3,1.2,0.2,Não,Não,3.875,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-253,3,G,Aluno-253,2007,15,Menino,2019,Escola Pública,Ágata,Ágata,Quartzo,4.312,847,142,13,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,9.2,3.6,5.0,Requer avaliação,1.8,1.0,3.7,0.7,Não,Não,3.75,5.0,Fase 5 (1º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-254,3,G,Aluno-254,2008,14,Menino,2019,Escola Pública,Ametista,Ametista,Ágata,6.715,584,76,7,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,10.0,7.4,5.6,Requer avaliação,5.3,5.0,6.8,4.0,Não,Não,6.917,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-255,3,G,Aluno-255,2008,14,Menino,2019,Escola Pública,Quartzo,Quartzo,Quartzo,4.563,841,139,12,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.5,3.8,5.0,Não indicado,1.3,1.0,2.3,0.5,Não,Não,5.542,5.0,Fase 4 (9º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-256,3,G,Aluno-256,2010,12,Menina,2019,Escola Pública,Ametista,Ametista,Ametista,7.192,433,52,3,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.8,8.5,5.0,Requer avaliação,5.2,5.3,6.7,3.5,Não,Não,6.708,10.0,Fase 3 (7º e 8º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
